a,0.016175756040905
aa,2.6723245516778e-05
aal,3.61829950633369e-07
aam,5.7892792101339e-07
aardvark,6.31098751104713e-07
aardwolf,1.04341660182646e-07
aba,4.75596018832512e-06
abac,4.20732500736475e-07
abaca,1.43049050250402e-07
abaciscus,3.3658600058918e-09
abacist,1.00975800176754e-08
aback,3.33220140583289e-07
abaculus,6.73172001178361e-09
abacus,1.26388043221237e-06
abaft,1.63244210285752e-07
abaiser,3.3658600058918e-09
abalone,8.39782071470005e-07
abampere,2.18780900382967e-08
abandon,7.53111176318291e-06
abandonable,3.3658600058918e-09
abandoned,3.54593351620701e-05
abandoner,3.3658600058918e-09
abandonment,3.0612496753586e-06
abas,2.45707780430102e-07
abase,1.34634400235672e-08
abased,6.73172001178361e-09
abasement,3.3658600058918e-08
abash,3.3658600058918e-09
abashed,2.86098100500803e-08
abasia,1.17805100206213e-08
abasic,1.85122300324049e-08
abate,3.65195810639261e-07
abatement,4.29147150751205e-07
abatis,1.53146630268077e-07
abaton,8.41465001472951e-09
abator,3.3658600058918e-09
abattoir,2.74317590480182e-07
abaxial,3.19756700559721e-08
abb,3.33893312584467e-06
abbacy,1.36317330238618e-07
abbas,5.14639994900857e-06
abbasi,4.57756960801285e-07
abbassi,5.04879000883771e-08
abbatial,5.55366900972148e-08
abbess,1.18141686206802e-06
abbey,3.10921318044255e-05
abbot,8.25477166444965e-06
abbotship,1.51463700265131e-08
abbreviate,2.18780900382967e-07
abbreviation,1.1788924670636e-05
abbreviator,2.69268800471344e-08
abbreviature,3.3658600058918e-09
abcoulomb,1.85122300324049e-08
abdal,2.07000390362346e-07
abdat,3.3658600058918e-09
abdest,1.34634400235672e-08
abdicate,1.07875813188832e-06
abdication,2.37798009416256e-06
abditory,3.3658600058918e-09
abdomen,3.17400598555597e-06
abdominal,3.92627569687279e-06
abdominally,3.3658600058918e-09
abducens,1.3968319024451e-07
abducent,1.6829300029459e-08
abduct,3.87073900677557e-07
abduction,3.01581056527906e-06
abductor,2.47390710433048e-07
abeam,1.26219750220943e-07
abecedarian,1.85122300324049e-08
abecedarium,1.00975800176754e-07
abecedary,1.34634400235672e-08
abed,2.27195550397697e-07
abele,2.25512620394751e-07
aberrance,3.3658600058918e-09
aberrancy,1.00975800176754e-08
aberrant,4.69537470821907e-07
aberration,1.53314923268372e-06
aberrational,1.17805100206213e-08
abet,4.56074030798339e-07
abetment,8.41465001472951e-09
abettor,2.86098100500803e-08
abey,3.02927400530262e-08
abeyance,8.76806531534815e-07
abeyancy,5.0487900088377e-09
abeyant,3.06293260536154e-07
abhiseka,1.34634400235672e-08
abhor,1.16122170203267e-07
abhorrence,1.48097840259239e-07
abhorrent,2.69268800471344e-07
abhorring,1.17805100206213e-08
abidal,2.69268800471344e-08
abidance,3.3658600058918e-09
abide,1.79400338314033e-06
abidi,7.06830601237279e-08
abiding,6.47928051134172e-07
abietic,3.70244600648098e-08
abigail,2.62537080459561e-06
ability,6.3555851561252e-05
abiogenesis,2.01951600353508e-07
abiogenetic,3.3658600058918e-09
abiological,6.73172001178361e-09
abiology,1.51463700265131e-08
abiosis,5.0487900088377e-09
abiotic,3.4500065060391e-07
abiotrophy,1.6829300029459e-08
abir,7.06830601237279e-08
abject,3.78659250662828e-07
abjection,5.04879000883771e-08
abjectly,1.85122300324049e-08
abjuration,1.58195420276915e-07
abjure,8.24635701443492e-08
abjurement,5.0487900088377e-09
abkar,1.00975800176754e-08
abkari,8.41465001472951e-09
ablach,6.73172001178361e-09
ablactation,3.3658600058918e-09
ablate,3.87073900677557e-08
ablation,6.84952511198982e-07
ablative,8.73440671528923e-07
ablator,1.85122300324049e-08
ablaut,3.41634790598018e-07
ablaze,6.84952511198982e-07
able,0.000113222481808191
abler,2.69268800471344e-08
ablest,2.57488290450723e-07
abloom,1.00975800176754e-08
ablow,1.17805100206213e-08
ablution,2.52439500441885e-07
ably,3.46683580606856e-07
abnegate,3.3658600058918e-09
abnegation,2.18780900382967e-08
abnet,5.0487900088377e-09
abnormal,4.49005724785967e-06
abnormality,7.87611241378682e-07
abnormally,1.03331902180878e-06
aboard,1.64287626887579e-05
abode,1.7451984130549e-06
abohm,5.0487900088377e-09
abolish,2.6068585745632e-06
abolisher,3.3658600058918e-09
abolishment,4.03903200707016e-07
abolition,7.26016003270862e-06
abolitionism,1.20666081211221e-06
abolitionist,3.54593351620701e-06
abolitionize,5.0487900088377e-09
abomasum,5.04879000883771e-08
abominable,7.74147801355115e-07
abominably,2.86098100500803e-08
abominate,5.0487900088377e-09
abomination,7.33757481284413e-07
abominator,6.73172001178361e-09
aboon,2.35610200412426e-08
aborad,3.3658600058918e-09
aboral,4.88049700854312e-08
abord,2.52439500441885e-08
aboriginal,1.36418306038795e-05
aboriginality,2.69268800471344e-08
aboriginally,8.41465001472951e-09
aborigine,6.36147541113551e-07
abort,1.44227101252464e-06
aborted,1.94378415340252e-06
abortifacient,1.29585610226834e-07
abortion,1.20043397110131e-05
abortionist,3.3658600058918e-08
abortive,1.36485623238913e-06
abortively,6.73172001178361e-09
abortus,2.86098100500803e-08
abound,1.36653916239207e-06
abounding,1.9690281034467e-07
about,0.000813938998344768
abouts,6.56342701148902e-08
above,0.00015527890258181
aboveboard,6.73172001178361e-09
aboveground,5.63781550986877e-07
abox,1.09390450191484e-07
abracadabra,2.37293130415372e-07
abrade,3.53415300618639e-08
abrasax,6.56342701148902e-08
abrash,8.24635701443492e-08
abrasion,7.79196591363952e-07
abrasive,1.47424668258061e-06
abraum,3.3658600058918e-09
abraxas,4.61122820807177e-07
abreaction,1.85122300324049e-08
abreast,5.48635180960364e-07
abridge,1.21170960212105e-07
abridged,2.20800416386502e-06
abridgment,2.69268800471344e-07
abrim,6.73172001178361e-09
abrin,1.6829300029459e-08
abroad,1.8448278692293e-05
abrogate,1.85122300324049e-07
abrogation,2.96195680518479e-07
abrogative,3.3658600058918e-09
abrogator,1.17805100206213e-08
abrotanum,8.41465001472951e-09
abrupt,2.31066289404472e-06
abruption,5.89025501031066e-08
abruptly,3.41971376598607e-06
abruptness,4.71220400824852e-08
abscess,8.54928441496518e-07
abscessed,1.17805100206213e-08
abscise,3.3658600058918e-09
absciss,3.3658600058918e-09
abscissa,1.48097840259239e-07
